1;;2;;3;;4;;5;;6;
1;;1;;21;M1115;41;M1062;61;M0517;97;M0951
2;M0995;2;;22;M1005;42;M1071;62;M1107;98;M0980
3;;3;M1104;23;M1006;43;M0963;63;M1108;99;M1077
4;M0727;4;M1106;24;M1083;44;M0862;64;M0545;100;M1078
5;M0728;5;;25;M1084;45;M1060;65;M0902;101;M0953
6;M0958;6;1090;26;M1113;46;M1087;66;M0903;102;M0954
7;M1021;7;M1091;27;;47;M0890;67;M0904;103;
8;M0518;8;M1124;28;M1047;48;M0973;68;M0974;104;
9;;9;;29;M1111;49;M0892;69;;105;M1039
10;M0843;10;M1123;30;M1116;50;M0893;70;M0922;106;M1040
11;;11;M1102;31;M1119;51;M0894;71;M0923;107;M1109
12;;12;M1103;32;M1120;52;M0895;72;M1010;108;M1110
13;M0548;13;;33;M1132;53;M1088;73;M1011;109;
14;M0547;14;;34;M1114;54;M0889;74;M0881;110;M1130
15;M0659;15;;35;M1125;55;M0888;75;M1015;111;M1079
16;M0822;16;M1119;36;M1117;56;M0885;76;M1131;112;M1080
17;;17;M1120;37;M1118;57;M0886;77;M0772;113;M1081
18;M0685;18;M1121;38;M1045;58;M0887;78;M0801;114;M1082
19;M0660;19;M1122;39;M1046;59;M0896;79;M0802;115;M1069
20;M0697;20;;40;;60;M0897;80;M0905;116;M1070
;;;;;;;;81;M0906;117;M1112
;;;;;;;;82;M0806;118;M0924
;;;;;;;;83;M0911;119;M0979
;;;;;;;;84;M0866;120;M0926
;;;;;;;;85;M0865;121;M0956
;;;;;;;;86;M1022;122;M0928
;;;;;;;;87;M0827;123;M0929
;;;;;;;;88;M0828;124;M0930
;;;;;;;;89;M0833;125;M0955
;;;;;;;;90;M0836;126;M0932
;;;;;;;;91;M1129;127;M0933
;;;;;;;;92;M0844;128;M0971
;;;;;;;;93;M0908;129;M0972
;;;;;;;;94;M0841;130;M1128
;;;;;;;;95;M0842;131;M1086
;;;;;;;;96;M1023;132;M1085
